,Total
help,330.017508923338
plant,315.90488549274835
design,304.56784107111145
new,261.1728244429848
interior,257.24134373093693
room,245.6123595547433
plants,190.05153175102646
home,175.99452464614913
just,155.29048538840826
advice,149.30598673892266
need,142.36059872211987
living,141.9385291962146
kitchen,141.37881610809268
leaf,130.81548350478857
like,130.22678150068296
know,129.57248424558364
ideas,127.6446870454925
leaves,125.92115784438644
wall,124.10322893015727
house,123.52587971197384
